id,title,subtitle,content,table_content,url,meta_data,질문,답,테이블
10009,등록,등록// 등록고지서 발급 및 등록방법, - 재학생: 학사서비스(GLS)내 등록금고지서 확인 후 등록금 납부기간 내 지정은행에 납부하거나 가상계좌로 입금- 복학생: 복학신청 후 학사서비스(GLS)내 등록금고지서 확인 후 등록금 납부기간 내 지정은행에 납부하거나 가상계좌로 입금,,https://www.skku.edu/_res/skku/etc/2022_p3.pdf,-1,등록고지서,재학생의 경우 학사서비스(GLS)내 등록금고지서 확인 후 등록금 납부기간 내 지정은행에 납부하거나 가상계좌로 입금합니다. 복학생의 경우 복학신청 후 학사서비스(GLS)내 등록금고지서 확인 후 등록금 납부기간 내 지정은행에 납부하거나 가상계좌로 입금,0
10010,등록,등록// 2022학년도 등록금 납부기간," - 1학기: (1차 등록) 2.11.(금)~2.17.(목), (추가 등록) 2.21.(월)~3.8.(화)- 2학기: (1차 등록) 8.19.(금)~8.25.(목), (추가 등록) 8.29.(월)~9.6.(화)- 초과등록자는 수강학점에 따라 등록금액이 확정되므로 개강 후 수강신청 변경·확인 기간 이후에 별도로 등록금 납부기간이 부여됩니다.",,https://www.skku.edu/_res/skku/etc/2022_p3.pdf,-1,등록금 납부 기간,"1학기 등록금 납부 기간은 (1차 등록) 2.11.(금)~2.17.(목), (추가 등록) 2.21.(월)~3.8.(화)이며, 2학기 등록금 납부 기간은 (1차 등록) 8.19.(금)~8.25.(목), (추가 등록) 8.29.(월)~9.6.(화)입니다.",0
10011,등록,등록// 등록금액 확인(고지서 출력),1) 학사서비스(GLS): 학적/개인영역 → 등록/장학 → 등록금고지서출력 2) 메인 홈페이지: 홈페이지 하단 주요서비스 → 등록금고지서출력(재학생) ※ 2018학년도 2학기부터 등록금고지서(학업성적표 포함) 우편발송 폐지,,https://www.skku.edu/_res/skku/etc/2022_p3.pdf,-1,등록금 얼마,1) 학사서비스(GLS): 학적/개인영역 → 등록/장학 → 등록금고지서출력 2) 메인 홈페이지: 홈페이지 하단 주요서비스 → 등록금고지서출력(재학생) ※ 2018학년도 2학기부터 등록금고지서(학업성적표 포함) 우편발송 폐지,0
10012,등록,등록// 등록금 납부방법,"① 가상계좌 입금: 학생 개인별로 부여된 우리은행 가상계좌(등록금 고지서에서 확인 가능)로 등록금 납부기간 내 입금(09:00~17:00)② 은행영업점 방문: 등록금 고지서를 지참하여 은행 업무시간 내 납부③ 신용카드: 우리카드만 가능하며, 우리카드 홈페이지 또는 우리은행에서 납부④ 전자금융서비스: 우리은행 홈페이지 공과금(등록금) 메뉴에서 납부",,https://www.skku.edu/_res/skku/etc/2022_p3.pdf,-1,등록금 납부 방법,"① 가상계좌 입금: 학생 개인별로 부여된 우리은행 가상계좌(등록금 고지서에서 확인 가능)로 등록금 납부기간 내 입금(09:00~17:00)② 은행영업점 방문: 등록금 고지서를 지참하여 은행 업무시간 내 납부③ 신용카드: 우리카드만 가능하며, 우리카드 홈페이지 또는 우리은행에서 납부④ 전자금융서비스: 우리은행 홈페이지 공과금(등록금) 메뉴에서 납부",0
10013,등록,등록// 전액장학생 등록(필수수납금액이 0원인 경우)," - 납부할 금액이 없는 전액장학생도 반드시 등록 절차를 마쳐야하며, 「GLS-신청/자격관리-전액장학생등록신청」 메뉴에서 신청 가능합니다.",,https://www.skku.edu/_res/skku/etc/2022_p3.pdf,-1,전액장학생 등록 방법,"납부할 금액이 없는 전액장학생도 반드시 등록 절차를 마쳐야하며, 「GLS-신청/자격관리-전액장학생등록신청」 메뉴에서 신청 가능합니다.",0
10014,등록,등록// 분할납부, - 신청방법: GLS-신청/자격관리-등록금분할납부신청에서 2회/4회 분납 선택,"<s>구분<t>구분<t>2회  분납  선택  시<t>4회  분납  선택  시<n>납부금액(회당)<t><t>실납입액의  1/2<t>1회:  실납입액의  1/3
2~4회:  1회  납부  후  잔여액의  1/3<n>분할납부  신청<t><t>2/7~2/9
(8/15~8/17)<t>2/7~2/9
(8/15~8/17)<n>납부
일정<t>1차<t>2/11~2/17,  2/21~3/8
(8/19~8/25,  8/29~9/6)<t>2/11~2/17,  2/21~3/8
(8/19~8/25,  8/29~9/6)<n>납부
일정<t>2차<t>4/18~4/20
(10/17~10/19)<t>3/21~3/23
(9/22~9/26)<n>납부
일정<t>3차<t>-<t>4/18~4/20
(10/17~10/19)<n>납부
일정<t>4차<t>-<t>5/9~5/11
(11/7~11/9)",https://www.skku.edu/_res/skku/etc/2022_p3.pdf,1,등록금 분할 납부 날짜,,1
10015,등록,등록// 학자금대출," - 신청: 한국장학재단 홈페이지(www.kosaf.go.kr)에서 신청- 학자금 대출 제외: 이미 등록금 납부를 마친 학생, 분할납부 신청자- 교내 학자금대출 문의처: 학생지원팀(031-290-5098, 5033, 5036)",,https://www.skku.edu/_res/skku/etc/2022_p3.pdf,-1,학자금 대출 방법,한국장학재단 홈페이지(www.kosaf.go.kr)에서 신청할 수 있습니다.,1
10016,등록,초과등록,"학칙이 정한 수업연한을 등록하였으나 졸업 이수 학점이 부족하여 추가적으로 등록을 해야 하는 경우에 해당하며, 수강신청 학점에 따라 등록금이 달라집니다.",,https://www.skku.edu/_res/skku/etc/2022_p3.pdf,-1,초과 등록 등록금,"학칙이 정한 수업연한을 등록하였으나 졸업 이수 학점이 부족하여 추가적으로 등록을 해야 하는 경우에 해당하며, 수강신청 학점에 따라 등록금이 달라집니다.",0
10017,등록,초과등록// 초과등록 및 초과등록자의 등록고지서 출력," - 수강신청 변경·확인 기간까지 수강할 강좌의 수강신청을 마치면 수강학점에 따라 확정된 등록금액이 기재된 등록금고지서를 GLS 내에서 확인 가능하며, 별도로 부여되는 등록 기간에 등록금을 납부하면 됩니다.",,https://www.skku.edu/_res/skku/etc/2022_p3.pdf,-1,초과 등록 등록금 고지서," - 수강신청 변경·확인 기간까지 수강할 강좌의 수강신청을 마치면 수강학점에 따라 확정된 등록금액이 기재된 등록금고지서를 GLS 내에서 확인 가능하며, 별도로 부여되는 등록 기간에 등록금을 납부하면 됩니다.",0
10018,등록,초과등록// 초과등록자 등록금액 기준,,"<s>학  위  과  정<t>수강신청  학점<t>등  록  금  액<n>학사과정
(9학기등록자부터  적용, 
건축학과는  11학기등록자부터  적용)<t>0~3학점<t>등록금액의  1/6<n>학사과정
(9학기등록자부터  적용, 
건축학과는  11학기등록자부터  적용)<t>4-6학점<t>등록금액의  1/3<n>학사과정
(9학기등록자부터  적용, 
건축학과는  11학기등록자부터  적용)<t>7-9학점<t>등록금액의  1/2<n>학사과정
(9학기등록자부터  적용, 
건축학과는  11학기등록자부터  적용)<t>10학점  이상<t>등록금액  전액<n>대학원  과정
(석사,  박사,  석박사통합과정)
-일반대학원/전문대학원
(5학기  등록자부터  적용, 
석박사통합과정은  9학기  등록자부터  적용,
의학전문대학원  복합학위과정은 15학기  등록자부터  적용)
-특수대학원
(6학기등록자부터  적용)<t>0~1학점<t>등록금액의  1/6<n>대학원  과정
(석사,  박사,  석박사통합과정)
-일반대학원/전문대학원
(5학기  등록자부터  적용, 
석박사통합과정은  9학기  등록자부터  적용,
의학전문대학원  복합학위과정은 15학기  등록자부터  적용)
-특수대학원
(6학기등록자부터  적용)<t>2학점<t>등록금액의  1/3<n>대학원  과정
(석사,  박사,  석박사통합과정)
-일반대학원/전문대학원
(5학기  등록자부터  적용, 
석박사통합과정은  9학기  등록자부터  적용,
의학전문대학원  복합학위과정은 15학기  등록자부터  적용)
-특수대학원
(6학기등록자부터  적용)<t>3학점<t>등록금액의  1/2<n>대학원  과정
(석사,  박사,  석박사통합과정)
-일반대학원/전문대학원
(5학기  등록자부터  적용, 
석박사통합과정은  9학기  등록자부터  적용,
의학전문대학원  복합학위과정은 15학기  등록자부터  적용)
-특수대학원
(6학기등록자부터  적용)<t>4학점  이상<t>등록금액  전액",https://www.skku.edu/_res/skku/etc/2022_p3.pdf,1,초과 등록 등록금 금액,,1
10019,등록,연구등록,"일반대학원 및 전문대학원 박사과정, 석박사통합과정을 수료한 학생은 수료 후 학위취득 전까지 학위논문제출자격시험 및 학위논문 작성 준비 기간에 4개 학기 연속으로, 혹은 학위논문 심사 신청 전에 일괄적으로 연구등록금을 납부합니다. ",,https://www.skku.edu/_res/skku/etc/2022_p3.pdf,-1,연구등록이란,"일반대학원 및 전문대학원 박사과정, 석박사통합과정을 수료한 학생은 수료 후 학위취득 전까지 학위논문제출자격시험 및 학위논문 작성 준비 기간에 4개 학기 연속으로, 혹은 학위논문 심사 신청 전에 일괄적으로 연구등록금을 납부합니다. ",0
10020,등록,연구등록// 등록대상, - 일반대학원 및 전문대학원의 박사과정 또는 석박사통합과정 수료자,,https://www.skku.edu/_res/skku/etc/2022_p3.pdf,-1,연구 등록 대상,일반대학원 및 전문대학원의 박사과정 또는 석박사통합과정 수료자,0
10021,등록,연구등록// 등록기간, - 재학생 등록금 납부기간과 동일합니다.,,https://www.skku.edu/_res/skku/etc/2022_p3.pdf,-1,연구 등록 기간 언제,재학생 등록금 납부기간과 동일합니다.,0
10022,등록,연구등록// 등록방법," - 수료 후 4개 학기간 연속으로 납부해야 하며, 미납분이 있는 경우 미납분 전액을 일괄 납부해야 학위논문제출자격시험 신청, 학위논문 심사(예비심사/본심사) 신청 등 잔여 학사업무를 진행할 수 있습니다.- 미납 학기의 연구등록금을 납부하고자 하는 경우에는 GLS에서 연구등록미납금 조회/납부 신청 후, 발급받은 가상계좌에 입금할 수 있습니다.",,https://www.skku.edu/_res/skku/etc/2022_p3.pdf,-1,연구 등록 방법," - 수료 후 4개 학기간 연속으로 납부해야 하며, 미납분이 있는 경우 미납분 전액을 일괄 납부해야 학위논문제출자격시험 신청, 학위논문 심사(예비심사/본심사) 신청 등 잔여 학사업무를 진행할 수 있습니다.- 미납 학기의 연구등록금을 납부하고자 하는 경우에는 GLS에서 연구등록미납금 조회/납부 신청 후, 발급받은 가상계좌에 입금할 수 있습니다.",0
10023,등록,연구등록// 연구등록금의 분할납부 및 학자금 대출 및 장학금 지급 제한," - 연구등록학기는 정규학기가 아니며, 연구등록금은 수업료가 아니므로 분할납부, 학자금 대출 대상이 아니며 장학금도 지급되지 않습니다.",,https://www.skku.edu/_res/skku/etc/2022_p3.pdf,-1,연구 등록 장학금,"연구 등록학기는 정규학기가 아니며, 연구 등록금은 수업료가 아니므로 장학금이 지급되지 않습니다.",0
10024,등록,연구등록// 연구등록기간 중 수강신청, - 연구등록생이 학위논문 작성을 위해 필요한 경우에 한하여 연구등록금을 납부한 학기에는 학기당 1과목 이내에서 대학원 과목을 수강할 수 있습니다.,,https://www.skku.edu/_res/skku/etc/2022_p3.pdf,-1,연구 등록 수강 신청, - 연구등록생이 학위논문 작성을 위해 필요한 경우에 한하여 연구등록금을 납부한 학기에는 학기당 1과목 이내에서 대학원 과목을 수강할 수 있습니다.,0
